DIP-250N|refseq:NP_499284|uniprotkb:P41958,DIP-1016N|refseq:NP_498007|uniprotkb:P30429,taxid:6239(Caenorhabditis elegans),taxid:6239(Caenorhabditis elegans),MI:0915(physical association)|MI:0915(physical association)|MI:0915(physical association),DIP-66E,dip-quality-status:core,dip:0004(small scale)|dip:0004(small scale)|dip:0004(small scale),['Mitochondrion'],['Mitochondrion']
DIP-26934N|refseq:NP_001022677|uniprotkb:Q9XU12,DIP-25261N|refseq:NP_493740|uniprotkb:O17286,taxid:6239(Caenorhabditis elegans),taxid:6239(Caenorhabditis elegans),MI:0218(physical interaction),DIP-42300E,dip-quality-status:,dip:0005(high throughput),,
DIP-26934N|refseq:NP_001022677|uniprotkb:Q9XU12,DIP-27249N|refseq:NP_500409|uniprotkb:Q965X6,taxid:6239(Caenorhabditis elegans),taxid:6239(Caenorhabditis elegans),MI:0218(physical interaction),DIP-42301E,dip-quality-status:,dip:0005(high throughput),,
DIP-26503N|refseq:NP_492385|uniprotkb:P90862,DIP-26045N|refseq:NP_499382|uniprotkb:Q9XTG8,taxid:6239(Caenorhabditis elegans),taxid:6239(Caenorhabditis elegans),MI:0218(physical interaction),DIP-42302E,dip-quality-status:,dip:0005(high throughput),,
DIP-26742N|refseq:NP_504695|uniprotkb:Q23012,DIP-26735N|refseq:NP_495102|uniprotkb:O01902,taxid:6239(Caenorhabditis elegans),taxid:6239(Caenorhabditis elegans),MI:0218(physical interaction),DIP-42303E,dip-quality-status:,dip:0005(high throughput),,
DIP-27349N|refseq:NP_492089|uniprotkb:Q93213,DIP-27441N|refseq:NP_498756|uniprotkb:P34524,taxid:6239(Caenorhabditis elegans),taxid:6239(Caenorhabditis elegans),MI:0218(physical interaction),DIP-42304E,dip-quality-status:,dip:0005(high throughput),,['Nucleus']
DIP-24308N|refseq:NP_490931|uniprotkb:Q9BKU2,DIP-26866N|refseq:NP_494379|uniprotkb:Q9N5G8,taxid:6239(Caenorhabditis elegans),taxid:6239(Caenorhabditis elegans),MI:0218(physical interaction),DIP-42305E,dip-quality-status:,dip:0005(high throughput),,
DIP-25038N|refseq:NP_496505|uniprotkb:P52713,DIP-26701N|refseq:NP_493891|uniprotkb:O17224,taxid:6239(Caenorhabditis elegans),taxid:6239(Caenorhabditis elegans),MI:0218(physical interaction),DIP-42306E,dip-quality-status:,dip:0005(high throughput),['Mitochondrion'],
DIP-24567N|refseq:NP_491634|uniprotkb:P91401,DIP-24323N|uniprotkb:O01482,taxid:6239(Caenorhabditis elegans),taxid:6239(Caenorhabditis elegans),MI:0218(physical interaction),DIP-42308E,dip-quality-status:,dip:0005(high throughput),,
DIP-24567N|refseq:NP_491634|uniprotkb:P91401,DIP-24848N|refseq:NP_495850|uniprotkb:Q18427,taxid:6239(Caenorhabditis elegans),taxid:6239(Caenorhabditis elegans),MI:0218(physical interaction),DIP-42309E,dip-quality-status:,dip:0005(high throughput),,
DIP-24567N|refseq:NP_491634|uniprotkb:P91401,DIP-24567N|refseq:NP_491634|uniprotkb:P91401,taxid:6239(Caenorhabditis elegans),taxid:6239(Caenorhabditis elegans),MI:0218(physical interaction),DIP-42310E,dip-quality-status:,dip:0005(high throughput),,
DIP-25275N|refseq:NP_491633|uniprotkb:P91400,DIP-25714N|refseq:NP_494859|uniprotkb:Q19833,taxid:6239(Caenorhabditis elegans),taxid:6239(Caenorhabditis elegans),MI:0218(physical interaction),DIP-42311E,dip-quality-status:,dip:0005(high throughput),,
DIP-25275N|refseq:NP_491633|uniprotkb:P91400,DIP-25792N|refseq:NP_493049|uniprotkb:Q9NLD1,taxid:6239(Caenorhabditis elegans),taxid:6239(Caenorhabditis elegans),MI:0218(physical interaction),DIP-42312E,dip-quality-status:,dip:0005(high throughput),,
DIP-27188N|refseq:NP_494804|uniprotkb:Q09407,DIP-25275N|refseq:NP_491633|uniprotkb:P91400,taxid:6239(Caenorhabditis elegans),taxid:6239(Caenorhabditis elegans),MI:0218(physical interaction),DIP-42313E,dip-quality-status:,dip:0005(high throughput),"['Cytoplasm', 'Nucleus']",
DIP-26765N|uniprotkb:Q09417,DIP-24314N|refseq:NP_493334|uniprotkb:O45691,taxid:6239(Caenorhabditis elegans),taxid:6239(Caenorhabditis elegans),MI:0218(physical interaction),DIP-42318E,dip-quality-status:,dip:0005(high throughput),,
DIP-26878N|refseq:NP_497723|uniprotkb:Q21453,DIP-24469N|refseq:NP_499011|uniprotkb:P34383,taxid:6239(Caenorhabditis elegans),taxid:6239(Caenorhabditis elegans),MI:0218(physical interaction),DIP-42319E,dip-quality-status:,dip:0005(high throughput),,
DIP-26718N|refseq:NP_498965|uniprotkb:P30632,DIP-24958N|refseq:NP_500574|uniprotkb:Q95018,taxid:6239(Caenorhabditis elegans),taxid:6239(Caenorhabditis elegans),MI:0218(physical interaction),DIP-42322E,dip-quality-status:,dip:0005(high throughput),"['Cytoplasm', 'Endoplasmic reticulum']",
DIP-25752N|refseq:NP_496868|uniprotkb:O17626,DIP-25788N|refseq:NP_508145|uniprotkb:Q19019,taxid:6239(Caenorhabditis elegans),taxid:6239(Caenorhabditis elegans),MI:0218(physical interaction),DIP-42323E,dip-quality-status:,dip:0005(high throughput),,
DIP-26065N|refseq:NP_508413|uniprotkb:Q19162,DIP-25788N|refseq:NP_508145|uniprotkb:Q19019,taxid:6239(Caenorhabditis elegans),taxid:6239(Caenorhabditis elegans),MI:0218(physical interaction),DIP-42325E,dip-quality-status:,dip:0005(high throughput),,
DIP-27462N|refseq:NP_490978|uniprotkb:Q9TXH9,DIP-25788N|refseq:NP_508145|uniprotkb:Q19019,taxid:6239(Caenorhabditis elegans),taxid:6239(Caenorhabditis elegans),MI:0218(physical interaction),DIP-42326E,dip-quality-status:,dip:0005(high throughput),,
DIP-25788N|refseq:NP_508145|uniprotkb:Q19019,DIP-25881N|refseq:NP_490676|uniprotkb:O01802,taxid:6239(Caenorhabditis elegans),taxid:6239(Caenorhabditis elegans),MI:0218(physical interaction),DIP-42328E,dip-quality-status:,dip:0005(high throughput),,
DIP-25871N|refseq:NP_502064|uniprotkb:Q21591,DIP-25788N|refseq:NP_508145|uniprotkb:Q19019,taxid:6239(Caenorhabditis elegans),taxid:6239(Caenorhabditis elegans),MI:0218(physical interaction),DIP-42331E,dip-quality-status:,dip:0005(high throughput),,
DIP-25788N|refseq:NP_508145|uniprotkb:Q19019,DIP-26131N|refseq:NP_502432|uniprotkb:Q9XU67,taxid:6239(Caenorhabditis elegans),taxid:6239(Caenorhabditis elegans),MI:0218(physical interaction),DIP-42332E,dip-quality-status:,dip:0005(high throughput),,
DIP-26984N|refseq:NP_491446|uniprotkb:Q95Y97,DIP-25886N|refseq:NP_509358|uniprotkb:Q18070,taxid:6239(Caenorhabditis elegans),taxid:6239(Caenorhabditis elegans),MI:0218(physical interaction),DIP-42345E,dip-quality-status:,dip:0005(high throughput),,
DIP-26314N|refseq:NP_510806|uniprotkb:O61799,DIP-26984N|refseq:NP_491446|uniprotkb:Q95Y97,taxid:6239(Caenorhabditis elegans),taxid:6239(Caenorhabditis elegans),MI:0218(physical interaction),DIP-42346E,dip-quality-status:,dip:0005(high throughput),,
DIP-26609N|refseq:NP_495606|uniprotkb:Q19537,DIP-26984N|refseq:NP_491446|uniprotkb:Q95Y97,taxid:6239(Caenorhabditis elegans),taxid:6239(Caenorhabditis elegans),MI:0218(physical interaction),DIP-42347E,dip-quality-status:,dip:0005(high throughput),['Nucleus'],
DIP-26984N|refseq:NP_491446|uniprotkb:Q95Y97,DIP-26766N|refseq:NP_507060|uniprotkb:O45521,taxid:6239(Caenorhabditis elegans),taxid:6239(Caenorhabditis elegans),MI:0218(physical interaction),DIP-42348E,dip-quality-status:,dip:0005(high throughput),,['Nucleus']
DIP-25251N|refseq:NP_499260|uniprotkb:P34574,DIP-26984N|refseq:NP_491446|uniprotkb:Q95Y97,taxid:6239(Caenorhabditis elegans),taxid:6239(Caenorhabditis elegans),MI:0218(physical interaction),DIP-42349E,dip-quality-status:,dip:0005(high throughput),['Cytoplasm'],
DIP-26432N|refseq:NP_502574|uniprotkb:Q9U1X7,DIP-26984N|refseq:NP_491446|uniprotkb:Q95Y97,taxid:6239(Caenorhabditis elegans),taxid:6239(Caenorhabditis elegans),MI:0218(physical interaction),DIP-42350E,dip-quality-status:,dip:0005(high throughput),,
DIP-26723N|uniprotkb:Q17489,DIP-26782N|refseq:NP_499399|uniprotkb:Q10658,taxid:6239(Caenorhabditis elegans),taxid:6239(Caenorhabditis elegans),MI:0218(physical interaction),DIP-42351E,dip-quality-status:,dip:0005(high throughput),,
DIP-24793N|refseq:NP_497037|uniprotkb:O45379,DIP-26782N|refseq:NP_499399|uniprotkb:Q10658,taxid:6239(Caenorhabditis elegans),taxid:6239(Caenorhabditis elegans),MI:0218(physical interaction),DIP-42352E,dip-quality-status:,dip:0005(high throughput),['Golgi apparatus'],
DIP-25914N|refseq:NP_741743|uniprotkb:Q20676,DIP-25884N|refseq:NP_502299|uniprotkb:Q21554,taxid:6239(Caenorhabditis elegans),taxid:6239(Caenorhabditis elegans),MI:0218(physical interaction),DIP-42355E,dip-quality-status:,dip:0005(high throughput),,"['Cytoplasm', 'Nucleus']"
DIP-27298N|refseq:NP_506172|uniprotkb:Q21934,DIP-25884N|refseq:NP_502299|uniprotkb:Q21554,taxid:6239(Caenorhabditis elegans),taxid:6239(Caenorhabditis elegans),MI:0218(physical interaction),DIP-42357E,dip-quality-status:,dip:0005(high throughput),,"['Cytoplasm', 'Nucleus']"
DIP-24409N|refseq:NP_491443|uniprotkb:P91042,DIP-26939N|refseq:NP_502066|uniprotkb:Q21592,taxid:6239(Caenorhabditis elegans),taxid:6239(Caenorhabditis elegans),MI:0218(physical interaction),DIP-42358E,dip-quality-status:,dip:0005(high throughput),,
DIP-25290N|refseq:NP_501086|uniprotkb:Q17746,DIP-25867N|refseq:NP_498935|uniprotkb:P34496,taxid:6239(Caenorhabditis elegans),taxid:6239(Caenorhabditis elegans),MI:0218(physical interaction),DIP-42361E,dip-quality-status:,dip:0005(high throughput),,['Mitochondrion']
DIP-25867N|refseq:NP_498935|uniprotkb:P34496,DIP-26411N|refseq:NP_495298|uniprotkb:Q09587,taxid:6239(Caenorhabditis elegans),taxid:6239(Caenorhabditis elegans),MI:0218(physical interaction),DIP-42362E,dip-quality-status:,dip:0005(high throughput),['Mitochondrion'],['Nucleus']
DIP-25867N|refseq:NP_498935|uniprotkb:P34496,DIP-27125N|refseq:NP_501528|uniprotkb:Q22847,taxid:6239(Caenorhabditis elegans),taxid:6239(Caenorhabditis elegans),MI:0218(physical interaction),DIP-42363E,dip-quality-status:,dip:0005(high throughput),['Mitochondrion'],
DIP-25867N|refseq:NP_498935|uniprotkb:P34496,DIP-26238N|refseq:NP_507134|uniprotkb:O18179,taxid:6239(Caenorhabditis elegans),taxid:6239(Caenorhabditis elegans),MI:0218(physical interaction),DIP-42364E,dip-quality-status:,dip:0005(high throughput),['Mitochondrion'],
DIP-26186N|refseq:NP_504287|uniprotkb:O16364,DIP-24273N|refseq:NP_509577|uniprotkb:Q18107,taxid:6239(Caenorhabditis elegans),taxid:6239(Caenorhabditis elegans),MI:0218(physical interaction),DIP-42365E,dip-quality-status:,dip:0005(high throughput),,
DIP-25963N|uniprotkb:Q95YE2,DIP-26186N|refseq:NP_504287|uniprotkb:O16364,taxid:6239(Caenorhabditis elegans),taxid:6239(Caenorhabditis elegans),MI:0218(physical interaction),DIP-42366E,dip-quality-status:,dip:0005(high throughput),['Cytoplasm'],
DIP-25673N|uniprotkb:Q9UAT1,DIP-26186N|refseq:NP_504287|uniprotkb:O16364,taxid:6239(Caenorhabditis elegans),taxid:6239(Caenorhabditis elegans),MI:0218(physical interaction),DIP-42367E,dip-quality-status:,dip:0005(high throughput),,
DIP-26529N|refseq:NP_498826|uniprotkb:P34397,DIP-26186N|refseq:NP_504287|uniprotkb:O16364,taxid:6239(Caenorhabditis elegans),taxid:6239(Caenorhabditis elegans),MI:0218(physical interaction),DIP-42369E,dip-quality-status:,dip:0005(high throughput),,
DIP-26186N|refseq:NP_504287|uniprotkb:O16364,DIP-26595N|refseq:NP_498520|uniprotkb:P53013,taxid:6239(Caenorhabditis elegans),taxid:6239(Caenorhabditis elegans),MI:0218(physical interaction),DIP-42372E,dip-quality-status:,dip:0005(high throughput),,['Cytoplasm']
DIP-25971N|uniprotkb:Q21431,DIP-26186N|refseq:NP_504287|uniprotkb:O16364,taxid:6239(Caenorhabditis elegans),taxid:6239(Caenorhabditis elegans),MI:0218(physical interaction),DIP-42375E,dip-quality-status:,dip:0005(high throughput),,
DIP-27342N|refseq:NP_494893|uniprotkb:Q21746,DIP-26186N|refseq:NP_504287|uniprotkb:O16364,taxid:6239(Caenorhabditis elegans),taxid:6239(Caenorhabditis elegans),MI:0218(physical interaction),DIP-42376E,dip-quality-status:,dip:0005(high throughput),,
DIP-26186N|refseq:NP_504287|uniprotkb:O16364,DIP-27192N|refseq:NP_507250|uniprotkb:Q9XUN9,taxid:6239(Caenorhabditis elegans),taxid:6239(Caenorhabditis elegans),MI:0218(physical interaction),DIP-42378E,dip-quality-status:,dip:0005(high throughput),,
DIP-25463N|refseq:NP_741698|uniprotkb:Q9NES7,DIP-26186N|refseq:NP_504287|uniprotkb:O16364,taxid:6239(Caenorhabditis elegans),taxid:6239(Caenorhabditis elegans),MI:0218(physical interaction),DIP-42380E,dip-quality-status:,dip:0005(high throughput),,
DIP-24684N|refseq:NP_491349|uniprotkb:Q9N4V3,DIP-26186N|refseq:NP_504287|uniprotkb:O16364,taxid:6239(Caenorhabditis elegans),taxid:6239(Caenorhabditis elegans),MI:0218(physical interaction),DIP-42381E,dip-quality-status:,dip:0005(high throughput),,
DIP-25138N|refseq:NP_502752|uniprotkb:O17954,DIP-24442N|refseq:NP_502593|uniprotkb:Q9XU77,taxid:6239(Caenorhabditis elegans),taxid:6239(Caenorhabditis elegans),MI:0218(physical interaction),DIP-42243E,dip-quality-status:,dip:0005(high throughput),,
DIP-24750N|refseq:NP_506653|uniprotkb:Q23186,DIP-24442N|refseq:NP_502593|uniprotkb:Q9XU77,taxid:6239(Caenorhabditis elegans),taxid:6239(Caenorhabditis elegans),MI:0218(physical interaction),DIP-42257E,dip-quality-status:,dip:0005(high throughput),,
DIP-25014N|uniprotkb:O18141,DIP-24928N|refseq:NP_492612|uniprotkb:O45666,taxid:6239(Caenorhabditis elegans),taxid:6239(Caenorhabditis elegans),MI:0218(physical interaction),DIP-42287E,dip-quality-status:,dip:0005(high throughput),['Nucleus'],['Nucleus']
DIP-26812N|refseq:NP_510818|uniprotkb:Q95QL9,DIP-26186N|refseq:NP_504287|uniprotkb:O16364,taxid:6239(Caenorhabditis elegans),taxid:6239(Caenorhabditis elegans),MI:0218(physical interaction),DIP-42368E,dip-quality-status:,dip:0005(high throughput),,
DIP-27322N|refseq:NP_508243|uniprotkb:Q9UA36,DIP-25593N|uniprotkb:Q27873,taxid:6239(Caenorhabditis elegans),taxid:6239(Caenorhabditis elegans),MI:0218(physical interaction),DIP-42050E,dip-quality-status:,dip:0005(high throughput),,['Cytoplasm']
DIP-27322N|refseq:NP_508243|uniprotkb:Q9UA36,DIP-25758N|refseq:NP_740775|uniprotkb:Q9N2Z7,taxid:6239(Caenorhabditis elegans),taxid:6239(Caenorhabditis elegans),MI:0218(physical interaction),DIP-42051E,dip-quality-status:,dip:0005(high throughput),,
DIP-24442N|refseq:NP_502593|uniprotkb:Q9XU77,DIP-26625N|refseq:NP_510550|uniprotkb:Q21655,taxid:6239(Caenorhabditis elegans),taxid:6239(Caenorhabditis elegans),MI:0218(physical interaction),DIP-42245E,dip-quality-status:,dip:0005(high throughput),,
DIP-25021N|refseq:NP_501530|uniprotkb:Q22387,DIP-25314N|refseq:NP_501910|uniprotkb:Q21924,taxid:6239(Caenorhabditis elegans),taxid:6239(Caenorhabditis elegans),MI:0218(physical interaction),DIP-42509E,dip-quality-status:,dip:0005(high throughput),,['Nucleus']
DIP-26293N|refseq:NP_505642|uniprotkb:O62415,DIP-25110N|refseq:NP_493679|uniprotkb:P91419,taxid:6239(Caenorhabditis elegans),taxid:6239(Caenorhabditis elegans),MI:0218(physical interaction),DIP-42627E,dip-quality-status:,dip:0005(high throughput),['Cytoplasm'],
DIP-25463N|refseq:NP_741698|uniprotkb:Q9NES7,DIP-25110N|refseq:NP_493679|uniprotkb:P91419,taxid:6239(Caenorhabditis elegans),taxid:6239(Caenorhabditis elegans),MI:0218(physical interaction),DIP-42628E,dip-quality-status:,dip:0005(high throughput),,
DIP-25290N|refseq:NP_501086|uniprotkb:Q17746,DIP-27360N|refseq:NP_506069|uniprotkb:Q22174,taxid:6239(Caenorhabditis elegans),taxid:6239(Caenorhabditis elegans),MI:0218(physical interaction),DIP-42668E,dip-quality-status:,dip:0005(high throughput),,
DIP-27062N|refseq:NP_500866|uniprotkb:Q18341,DIP-27360N|refseq:NP_506069|uniprotkb:Q22174,taxid:6239(Caenorhabditis elegans),taxid:6239(Caenorhabditis elegans),MI:0218(physical interaction),DIP-42675E,dip-quality-status:,dip:0005(high throughput),,
DIP-25663N|refseq:NP_490860|uniprotkb:Q9Y048,DIP-27360N|refseq:NP_506069|uniprotkb:Q22174,taxid:6239(Caenorhabditis elegans),taxid:6239(Caenorhabditis elegans),MI:0218(physical interaction),DIP-42701E,dip-quality-status:,dip:0005(high throughput),['Cytoplasm'],
DIP-25075N|refseq:NP_506072|uniprotkb:Q22179,DIP-24618N|refseq:NP_504565|uniprotkb:O61973,taxid:6239(Caenorhabditis elegans),taxid:6239(Caenorhabditis elegans),MI:0218(physical interaction),DIP-42764E,dip-quality-status:,dip:0005(high throughput),,
DIP-27038N|refseq:NP_001022316|uniprotkb:Q22227,DIP-25185N|refseq:NP_494747|uniprotkb:O76583,taxid:6239(Caenorhabditis elegans),taxid:6239(Caenorhabditis elegans),MI:0218(physical interaction),DIP-42776E,dip-quality-status:,dip:0005(high throughput),['Cytoplasm'],
DIP-26616N|refseq:NP_507199|uniprotkb:O45734,DIP-27038N|refseq:NP_001022316|uniprotkb:Q22227,taxid:6239(Caenorhabditis elegans),taxid:6239(Caenorhabditis elegans),MI:0218(physical interaction),DIP-42817E,dip-quality-status:,dip:0005(high throughput),,['Cytoplasm']
DIP-25483N|refseq:NP_501706|uniprotkb:Q19835,DIP-25111N|refseq:NP_499152|uniprotkb:P34563,taxid:6239(Caenorhabditis elegans),taxid:6239(Caenorhabditis elegans),MI:0218(physical interaction),DIP-42845E,dip-quality-status:,dip:0005(high throughput),,['Cytoplasm']
DIP-24421N|refseq:NP_509268|uniprotkb:Q9GPA0,DIP-25111N|refseq:NP_499152|uniprotkb:P34563,taxid:6239(Caenorhabditis elegans),taxid:6239(Caenorhabditis elegans),MI:0218(physical interaction),DIP-42846E,dip-quality-status:,dip:0005(high throughput),,['Cytoplasm']
DIP-25111N|refseq:NP_499152|uniprotkb:P34563,DIP-24420N|refseq:NP_492540|uniprotkb:P90908,taxid:6239(Caenorhabditis elegans),taxid:6239(Caenorhabditis elegans),MI:0218(physical interaction),DIP-42847E,dip-quality-status:,dip:0005(high throughput),['Cytoplasm'],
DIP-25588N|refseq:NP_497915|uniprotkb:P47209,DIP-26099N|refseq:NP_507024|uniprotkb:O45766,taxid:6239(Caenorhabditis elegans),taxid:6239(Caenorhabditis elegans),MI:0218(physical interaction),DIP-42891E,dip-quality-status:,dip:0005(high throughput),['Cytoplasm'],
DIP-25693N|refseq:NP_495819|uniprotkb:Q19862,DIP-25328N|refseq:NP_001023371|uniprotkb:Q17878,taxid:6239(Caenorhabditis elegans),taxid:6239(Caenorhabditis elegans),MI:0218(physical interaction),DIP-42922E,dip-quality-status:,dip:0005(high throughput),,
DIP-24516N|refseq:NP_495100|uniprotkb:O01900,DIP-25328N|refseq:NP_001023371|uniprotkb:Q17878,taxid:6239(Caenorhabditis elegans),taxid:6239(Caenorhabditis elegans),MI:0218(physical interaction),DIP-42940E,dip-quality-status:,dip:0005(high throughput),,
DIP-25395N|refseq:NP_493709|uniprotkb:Q9TZ50,DIP-25328N|refseq:NP_001023371|uniprotkb:Q17878,taxid:6239(Caenorhabditis elegans),taxid:6239(Caenorhabditis elegans),MI:0218(physical interaction),DIP-42941E,dip-quality-status:,dip:0005(high throughput),,
DIP-26992N|uniprotkb:O18250,DIP-25328N|refseq:NP_001023371|uniprotkb:Q17878,taxid:6239(Caenorhabditis elegans),taxid:6239(Caenorhabditis elegans),MI:0218(physical interaction),DIP-42967E,dip-quality-status:,dip:0005(high throughput),,
DIP-27436N|refseq:NP_507093|uniprotkb:O17783,DIP-24374N|refseq:NP_506180|uniprotkb:Q21930,taxid:6239(Caenorhabditis elegans),taxid:6239(Caenorhabditis elegans),MI:0218(physical interaction),DIP-42511E,dip-quality-status:,dip:0005(high throughput),,
DIP-26873N|refseq:NP_499291|uniprotkb:Q18516,DIP-26565N|refseq:NP_498584|uniprotkb:P47991,taxid:6239(Caenorhabditis elegans),taxid:6239(Caenorhabditis elegans),MI:0218(physical interaction),DIP-42582E,dip-quality-status:,dip:0005(high throughput),,
DIP-26405N|refseq:NP_497731|uniprotkb:P41829,DIP-25170N|refseq:NP_510711|uniprotkb:Q22068,taxid:6239(Caenorhabditis elegans),taxid:6239(Caenorhabditis elegans),MI:0218(physical interaction),DIP-42597E,dip-quality-status:,dip:0005(high throughput),['Nucleus'],
DIP-26778N|refseq:NP_491909|uniprotkb:P91199,DIP-24318N|refseq:NP_508880|uniprotkb:Q22123,taxid:6239(Caenorhabditis elegans),taxid:6239(Caenorhabditis elegans),MI:0218(physical interaction),DIP-42657E,dip-quality-status:,dip:0005(high throughput),,
DIP-27360N|refseq:NP_506069|uniprotkb:Q22174,DIP-26451N|refseq:NP_493425|uniprotkb:Q9XUM0,taxid:6239(Caenorhabditis elegans),taxid:6239(Caenorhabditis elegans),MI:0218(physical interaction),DIP-42731E,dip-quality-status:,dip:0005(high throughput),,
DIP-25328N|refseq:NP_001023371|uniprotkb:Q17878,DIP-25657N|refseq:NP_495934|uniprotkb:Q22716,taxid:6239(Caenorhabditis elegans),taxid:6239(Caenorhabditis elegans),MI:0218(physical interaction),DIP-42955E,dip-quality-status:,dip:0005(high throughput),,
DIP-25732N|refseq:NP_503421|uniprotkb:O44608,DIP-25815N|refseq:NP_496073|uniprotkb:Q23440,taxid:6239(Caenorhabditis elegans),taxid:6239(Caenorhabditis elegans),MI:0218(physical interaction),DIP-42501E,dip-quality-status:,dip:0005(high throughput),,
DIP-26047N|refseq:NP_503225|uniprotkb:O16948,DIP-26846N|refseq:NP_491416|uniprotkb:O02056,taxid:6239(Caenorhabditis elegans),taxid:6239(Caenorhabditis elegans),MI:0218(physical interaction),DIP-42512E,dip-quality-status:,dip:0005(high throughput),,
DIP-25979N|refseq:NP_502087|uniprotkb:P40614,DIP-26047N|refseq:NP_503225|uniprotkb:O16948,taxid:6239(Caenorhabditis elegans),taxid:6239(Caenorhabditis elegans),MI:0218(physical interaction),DIP-42513E,dip-quality-status:,dip:0005(high throughput),['Mitochondrion'],
DIP-26047N|refseq:NP_503225|uniprotkb:O16948,DIP-26518N|refseq:NP_498036|uniprotkb:Q19826,taxid:6239(Caenorhabditis elegans),taxid:6239(Caenorhabditis elegans),MI:0218(physical interaction),DIP-42514E,dip-quality-status:,dip:0005(high throughput),,['Nucleus']
DIP-26047N|refseq:NP_503225|uniprotkb:O16948,DIP-26026N|uniprotkb:Q19965,taxid:6239(Caenorhabditis elegans),taxid:6239(Caenorhabditis elegans),MI:0218(physical interaction),DIP-42515E,dip-quality-status:,dip:0005(high throughput),,
DIP-24718N|refseq:NP_495279|uniprotkb:Q18355,DIP-25404N|refseq:NP_498253|uniprotkb:Q21952,taxid:6239(Caenorhabditis elegans),taxid:6239(Caenorhabditis elegans),MI:0218(physical interaction),DIP-42552E,dip-quality-status:,dip:0005(high throughput),,['Nucleus']
DIP-25404N|refseq:NP_498253|uniprotkb:Q21952,DIP-26751N|uniprotkb:P90841,taxid:6239(Caenorhabditis elegans),taxid:6239(Caenorhabditis elegans),MI:0218(physical interaction),DIP-42554E,dip-quality-status:,dip:0005(high throughput),['Nucleus'],
DIP-25404N|refseq:NP_498253|uniprotkb:Q21952,DIP-25090N|refseq:NP_497288|uniprotkb:O02642,taxid:6239(Caenorhabditis elegans),taxid:6239(Caenorhabditis elegans),MI:0218(physical interaction),DIP-42555E,dip-quality-status:,dip:0005(high throughput),['Nucleus'],
DIP-25404N|refseq:NP_498253|uniprotkb:Q21952,DIP-24514N|refseq:NP_493673|uniprotkb:Q17385,taxid:6239(Caenorhabditis elegans),taxid:6239(Caenorhabditis elegans),MI:0218(physical interaction),DIP-42556E,dip-quality-status:,dip:0005(high throughput),['Nucleus'],
DIP-25850N|refseq:NP_501830|uniprotkb:Q17635,DIP-25404N|refseq:NP_498253|uniprotkb:Q21952,taxid:6239(Caenorhabditis elegans),taxid:6239(Caenorhabditis elegans),MI:0218(physical interaction),DIP-42557E,dip-quality-status:,dip:0005(high throughput),"['Cytoplasm', 'Nucleus']",['Nucleus']
DIP-25404N|refseq:NP_498253|uniprotkb:Q21952,DIP-25334N|refseq:NP_508890|uniprotkb:Q95Y29,taxid:6239(Caenorhabditis elegans),taxid:6239(Caenorhabditis elegans),MI:0218(physical interaction),DIP-42558E,dip-quality-status:,dip:0005(high throughput),['Nucleus'],
DIP-25860N|uniprotkb:Q9BJ56,DIP-26291N|refseq:NP_490678|uniprotkb:O01800,taxid:6239(Caenorhabditis elegans),taxid:6239(Caenorhabditis elegans),MI:0218(physical interaction),DIP-42559E,dip-quality-status:,dip:0005(high throughput),,
DIP-25860N|uniprotkb:Q9BJ56,DIP-27125N|refseq:NP_501528|uniprotkb:Q22847,taxid:6239(Caenorhabditis elegans),taxid:6239(Caenorhabditis elegans),MI:0218(physical interaction),DIP-42560E,dip-quality-status:,dip:0005(high throughput),,
DIP-26431N|refseq:NP_498660|uniprotkb:Q95Y90,DIP-26457N|refseq:NP_509202|uniprotkb:Q18821,taxid:6239(Caenorhabditis elegans),taxid:6239(Caenorhabditis elegans),MI:0218(physical interaction),DIP-42562E,dip-quality-status:,dip:0005(high throughput),,
DIP-24635N|refseq:NP_741058|uniprotkb:Q8MYL7,DIP-26260N|refseq:NP_498069|uniprotkb:Q09997,taxid:6239(Caenorhabditis elegans),taxid:6239(Caenorhabditis elegans),MI:0218(physical interaction),DIP-42579E,dip-quality-status:,dip:0005(high throughput),,
DIP-25351N|refseq:NP_872118|uniprotkb:Q8I4K2,DIP-26565N|refseq:NP_498584|uniprotkb:P47991,taxid:6239(Caenorhabditis elegans),taxid:6239(Caenorhabditis elegans),MI:0218(physical interaction),DIP-42580E,dip-quality-status:,dip:0005(high throughput),,
DIP-26565N|refseq:NP_498584|uniprotkb:P47991,DIP-25508N|refseq:NP_498081|uniprotkb:Q20780,taxid:6239(Caenorhabditis elegans),taxid:6239(Caenorhabditis elegans),MI:0218(physical interaction),DIP-42581E,dip-quality-status:,dip:0005(high throughput),,
DIP-27159N|refseq:NP_502572|uniprotkb:Q9U1X8,DIP-26565N|refseq:NP_498584|uniprotkb:P47991,taxid:6239(Caenorhabditis elegans),taxid:6239(Caenorhabditis elegans),MI:0218(physical interaction),DIP-42583E,dip-quality-status:,dip:0005(high throughput),,
DIP-26873N|refseq:NP_499291|uniprotkb:Q18516,DIP-26054N|refseq:NP_496269|uniprotkb:Q22003,taxid:6239(Caenorhabditis elegans),taxid:6239(Caenorhabditis elegans),MI:0218(physical interaction),DIP-42584E,dip-quality-status:,dip:0005(high throughput),,
